"id","expname","subject","ip","condnum","choice","submitted","round","event","roword","colord","evttype","boxname","boxin","boxtime","counter","addvar","adddata","relcount","maxcount","f_c1","f_b1","f_b0","f_c0","f_a1","f_a0","t_c1","t_b1","t_b0","t_c0","t_a1","t_a0"
"55","group_1","32","::1","5","","2019-11-28 11:24:41","1","mouseout","0_1_2","0_1","0_0","c1","3247","250","1","0.0625","16","1","0","0","0","0","0","250","0","0","0","0","0"
"55","group_1","32","::1","5","","2019-11-28 11:24:41","1","mouseout","0_1_2","0_1","0_0","a0","3581","966","2","0.125","16","0","0","0","0","0","1","0","0","0","0","0","966"
"55","group_1","32","::1","5","","2019-11-28 11:24:41","1","mouseout","0_1_2","0_1","0_0","a1","4547","699","3","0.1875","16","0","0","0","0","1","0","0","0","0","0","699","0"
"55","group_1","32","::1","5","","2019-11-28 11:24:41","1","mouseout","0_1_2","0_1","0_0","b0","5297","849","4","0.25","16","0","0","1","0","0","0","0","0","849","0","0","0"
"55","group_1","32","::1","5","","2019-11-28 11:24:41","1","mouseout","0_1_2","0_1","0_0","a0","6147","534","5","0.3125","16","0","0","0","0","0","1","0","0","0","0","0","534"
"55","group_1","32","::1","5","","2019-11-28 11:24:41","1","mouseout","0_1_2","0_1","0_0","b1","6698","1083","6","0.375","16","0","1","0","0","0","0","0","1083","0","0","0","0"
"55","group_1","32","::1","5","","2019-11-28 11:24:41","1","mouseout","0_1_2","0_1","0_0","c1","7782","548","7","0.4375","16","1","0","0","0","0","0","548","0","0","0","0","0"
"55","group_1","32","::1","5","","2019-11-28 11:24:41","1","mouseout","0_1_2","0_1","0_0","c0","8330","650","8","0.5","16","0","0","0","1","0","0","0","0","0","650","0","0"
"55","group_1","32","::1","5","","2019-11-28 11:24:41","1","mouseout","0_1_2","0_1","0_0","c1","2835","183","9","0.5625","16","1","0","0","0","0","0","183","0","0","0","0","0"
"55","group_1","32","::1","5","","2019-11-28 11:24:41","1","mouseout","0_1_2","0_1","0_0","c1","2513","234","10","0.625","16","1","0","0","0","0","0","234","0","0","0","0","0"
"55","group_1","32","::1","5","","2019-11-28 11:24:41","1","mouseout","0_1_2","0_1","0_0","b0","2763","117","11","0.6875","16","0","0","1","0","0","0","0","0","117","0","0","0"
"55","group_1","32","::1","5","","2019-11-28 11:24:41","1","mouseout","0_1_2","0_1","0_0","a0","2897","700","12","0.75","16","0","0","0","0","0","1","0","0","0","0","0","700"
"55","group_1","32","::1","5","","2019-11-28 11:24:41","1","mouseout","0_1_2","0_1","0_0","a1","3597","983","13","0.8125","16","0","0","0","0","1","0","0","0","0","0","983","0"
"55","group_1","32","::1","5","","2019-11-28 11:24:41","1","mouseout","0_1_2","0_1","0_0","b0","4596","684","14","0.875","16","0","0","1","0","0","0","0","0","684","0","0","0"
"55","group_1","32","::1","5","","2019-11-28 11:24:41","1","mouseout","0_1_2","0_1","0_0","a1","5346","983","15","0.9375","16","0","0","0","0","1","0","0","0","0","0","983","0"
"55","group_1","32","::1","5","","2019-11-28 11:24:41","1","mouseout","0_1_2","0_1","0_0","a0","36205","641","16","1","16","0","0","0","0","0","1","0","0","0","0","0","641"
"56","group_1","32","::1","5","","2019-11-28 11:25:36","1","mouseover","0_1_2","0_1","0_0","b0","36846","-33349","1","0.058823529411765","17","0","0","1","0","0","0","0","0","-33349","0","0","0"
"56","group_1","32","::1","5","","2019-11-28 11:25:36","1","mouseout","0_1_2","0_1","0_0","c1","3247","250","2","0.11764705882353","17","1","0","0","0","0","0","250","0","0","0","0","0"
"56","group_1","32","::1","5","","2019-11-28 11:25:36","1","mouseout","0_1_2","0_1","0_0","a0","3581","966","3","0.17647058823529","17","0","0","0","0","0","1","0","0","0","0","0","966"
"56","group_1","32","::1","5","","2019-11-28 11:25:36","1","mouseout","0_1_2","0_1","0_0","a1","4547","699","4","0.23529411764706","17","0","0","0","0","1","0","0","0","0","0","699","0"
"56","group_1","32","::1","5","","2019-11-28 11:25:36","1","mouseout","0_1_2","0_1","0_0","b0","5297","849","5","0.29411764705882","17","0","0","1","0","0","0","0","0","849","0","0","0"
"56","group_1","32","::1","5","","2019-11-28 11:25:36","1","mouseout","0_1_2","0_1","0_0","a0","6147","534","6","0.35294117647059","17","0","0","0","0","0","1","0","0","0","0","0","534"
"56","group_1","32","::1","5","","2019-11-28 11:25:36","1","mouseout","0_1_2","0_1","0_0","b1","6698","1083","7","0.41176470588235","17","0","1","0","0","0","0","0","1083","0","0","0","0"
"56","group_1","32","::1","5","","2019-11-28 11:25:36","1","mouseout","0_1_2","0_1","0_0","c1","7782","548","8","0.47058823529412","17","1","0","0","0","0","0","548","0","0","0","0","0"
"56","group_1","32","::1","5","","2019-11-28 11:25:36","1","mouseout","0_1_2","0_1","0_0","c0","8330","650","9","0.52941176470588","17","0","0","0","1","0","0","0","0","0","650","0","0"
"56","group_1","32","::1","5","","2019-11-28 11:25:36","1","mouseout","0_1_2","0_1","0_0","c1","2835","183","10","0.58823529411765","17","1","0","0","0","0","0","183","0","0","0","0","0"
"56","group_1","32","::1","5","","2019-11-28 11:25:36","1","mouseout","0_1_2","0_1","0_0","c1","2513","234","11","0.64705882352941","17","1","0","0","0","0","0","234","0","0","0","0","0"
"56","group_1","32","::1","5","","2019-11-28 11:25:36","1","mouseout","0_1_2","0_1","0_0","b0","2763","117","12","0.70588235294118","17","0","0","1","0","0","0","0","0","117","0","0","0"
"56","group_1","32","::1","5","","2019-11-28 11:25:36","1","mouseout","0_1_2","0_1","0_0","a0","2897","700","13","0.76470588235294","17","0","0","0","0","0","1","0","0","0","0","0","700"
"56","group_1","32","::1","5","","2019-11-28 11:25:36","1","mouseout","0_1_2","0_1","0_0","a1","3597","983","14","0.82352941176471","17","0","0","0","0","1","0","0","0","0","0","983","0"
"56","group_1","32","::1","5","","2019-11-28 11:25:36","1","mouseout","0_1_2","0_1","0_0","b0","4596","684","15","0.88235294117647","17","0","0","1","0","0","0","0","0","684","0","0","0"
"56","group_1","32","::1","5","","2019-11-28 11:25:36","1","mouseout","0_1_2","0_1","0_0","a1","5346","983","16","0.94117647058824","17","0","0","0","0","1","0","0","0","0","0","983","0"
"56","group_1","32","::1","5","","2019-11-28 11:25:36","1","mouseout","0_1_2","0_1","0_0","a0","36205","641","17","1","17","0","0","0","0","0","1","0","0","0","0","0","641"
"57","group_1","32","::1","5","","2019-11-28 11:25:48","2","mouseover","0_1_2","0_1","0_0","b0","36846","-34227","1","null","null","0.11111111111111","9","0","0","1","0","0","0","0","0","-34227","0","0","0"
"57","group_1","32","::1","5","","2019-11-28 11:25:48","2","mouseout","0_1_2","0_1","0_0","c1","1419","716","2","null","null","0.22222222222222","9","1","0","0","0","0","0","716","0","0","0","0","0"
"57","group_1","32","::1","5","","2019-11-28 11:25:48","2","mouseout","0_1_2","0_1","0_0","c0","2135","483","3","null","null","0.33333333333333","9","0","0","0","1","0","0","0","0","0","483","0","0"
"57","group_1","32","::1","5","","2019-11-28 11:25:48","2","mouseout","0_1_2","0_1","0_0","b1","3152","515","4","null","null","0.44444444444444","9","0","1","0","0","0","0","0","515","0","0","0","0"
"57","group_1","32","::1","5","","2019-11-28 11:25:48","2","mouseout","0_1_2","0_1","0_0","a1","3668","633","5","null","null","0.55555555555556","9","0","0","0","0","1","0","0","0","0","0","633","0"
"57","group_1","32","::1","5","","2019-11-28 11:25:48","2","mouseout","0_1_2","0_1","0_0","a0","4334","585","6","null","null","0.66666666666667","9","0","0","0","0","0","1","0","0","0","0","0","585"
"57","group_1","32","::1","5","","2019-11-28 11:25:48","2","mouseout","0_1_2","0_1","0_0","a1","4919","647","7","null","null","0.77777777777778","9","0","0","0","0","1","0","0","0","0","0","647","0"
"57","group_1","32","::1","5","","2019-11-28 11:25:48","2","mouseout","0_1_2","0_1","0_0","a0","5567","1084","8","null","null","0.88888888888889","9","0","0","0","0","0","1","0","0","0","0","0","1084"
"57","group_1","32","::1","5","","2019-11-28 11:25:48","2","mouseout","0_1_2","0_1","0_0","b0","6667","417","9","null","null","1","9","0","0","1","0","0","0","0","0","417","0","0","0"
"58","group_1","32","::1","5","","2019-11-28 11:25:58","3","mouseout","0_1_2","0_1","0_0","c1","1675","333","1","null","null","0.125","8","1","0","0","0","0","0","333","0","0","0","0","0"
"58","group_1","32","::1","5","","2019-11-28 11:25:58","3","mouseout","0_1_2","0_1","0_0","b1","2024","452","2","null","null","0.25","8","0","1","0","0","0","0","0","452","0","0","0","0"
"58","group_1","32","::1","5","","2019-11-28 11:25:58","3","mouseout","0_1_2","0_1","0_0","a1","2491","567","3","null","null","0.375","8","0","0","0","0","1","0","0","0","0","0","567","0"
"58","group_1","32","::1","5","","2019-11-28 11:25:58","3","mouseout","0_1_2","0_1","0_0","b0","3109","332","4","null","null","0.5","8","0","0","1","0","0","0","0","0","332","0","0","0"
"58","group_1","32","::1","5","","2019-11-28 11:25:58","3","mouseout","0_1_2","0_1","0_0","a0","3457","500","5","null","null","0.625","8","0","0","0","0","0","1","0","0","0","0","0","500"
"58","group_1","32","::1","5","","2019-11-28 11:25:58","3","mouseout","0_1_2","0_1","0_0","b0","3974","400","6","null","null","0.75","8","0","0","1","0","0","0","0","0","400","0","0","0"
"58","group_1","32","::1","5","","2019-11-28 11:25:58","3","mouseout","0_1_2","0_1","0_0","b1","4391","583","7","null","null","0.875","8","0","1","0","0","0","0","0","583","0","0","0","0"
"58","group_1","32","::1","5","","2019-11-28 11:25:58","3","mouseout","0_1_2","0_1","0_0","a1","4974","416","8","null","null","1","8","0","0","0","0","1","0","0","0","0","0","416","0"
"59","group_1","34","::1","5","","2019-11-28 11:33:33","1","mouseout","0_1_2","0_1","0_0","a1","21934","433","1","null","null","0.1","10","0","0","0","0","1","0","0","0","0","0","433","0"
"59","group_1","34","::1","5","","2019-11-28 11:33:33","1","mouseout","0_1_2","0_1","0_0","a0","22384","432","2","null","null","0.2","10","0","0","0","0","0","1","0","0","0","0","0","432"
